address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:23:35,0xcd14610e6ab9bdf20c674b1d6b47c4e4f4c641d8,250000000000000000000,300000138773170118759905,29,38,60000000000000000,0x2ecab113bf791f406fa5687f661b12f2891ed3a9dfbba32d231de23cb9ef7c81
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:49:59,0x46a83dc1a264bff133db887023d2884167094837,0,0,0,0,0,0xa866c19e8a781bf20b3b9b66f2898ac59e5ddb93bd4b47d3cc3cf610968e6854
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:54:47,0x46a83dc1a264bff133db887023d2884167094837,300000000000000000000,420000000000000000000000,14,23,60000000000000000,0xc950b16d7d236a101c262a325e21b24c9482243d36c7e7b8c515c7a48b60ea6b
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 23:09:11,0xc7719ed61cc102cc0472e3739055b07857ed2dc2,3000000000000000000,4000000000000000000000,19,28,60000000000000000,0x5f9c2992ba6f0a0e3222bef5e3f2d9c3651e1a946138f3227c2b8c3437723359
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 01:22:59,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,9305749510084470851168,1,15,60000000000000000,0xb3d7803d82e145be3714657052271a844d5146a519b7976a5609231f42e2c969
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 01:28:23,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,9513654960987058112510,-1,13,60000000000000000,0x68e41392748d127db57443e1c2a841c36bfee37ed763a5685e3f6523cba6cee5
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 02:18:59,0x29f227b10c58457d8837031c813216de82f9abaf,50000000000000000000,38323000000000000000000,56,104,60000000000000000,0x88cc56e976f8c928668cd90b1f9133b6b6684327a35d77373a25205eef0a4666
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 02:20:23,0x38f046ae944021351ce5c2486dee3027c949858f,249762416588972715855,200000000000000000000000,70,79,60000000000000000,0xf22428e5966311da2f3c3cc1367ce8292a61693b8c10d4fee6194a9c6c587f41
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 02:40:35,0xaa57b4d752aaf969ab53d75528a96729f2cc9af2,70080275766148521908,80012574549737970855875,34,43,60000000000000000,0x881d782e84d127092f1717d01db9b3589c772593b33c077cb116fb531e4593e9
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-21 02:48:11,0xaa57b4d752aaf969ab53d75528a96729f2cc9af2,85855277172595906422,80012606631360667793489,55,64,60000000000000000,0x22134dbe089466b5e760c70bad95a9d87f40e72c53c15e25283081920a4dcfd5
